Code,Country,Continent,Region
ABW,Afghanistan,Asia,South Asia
AFG,Albania,Europe,Southeastern Europe
AGO,Algeria,Africa,Northern Africa
AIA,Andorra,Europe,Southwestern Europe
ALB,Angola,Africa,Central Africa
AND,Anguilla,Caribbean (North America),Lesser Antilles
ARE,Antarctica,Antarctica,Antarctica
ARG,Antigua and Barbuda,Caribbean (North America),Lesser Antilles
ARM,Argentina,South America,Southern Cone
ATA,Armenia,Asia,Western Asia
ATG,Aruba,Caribbean (South America),Lesser Antilles
AUS,Australia,Oceania,Australasia
AUT,Austria,Europe,Central Europe
AZE,Azerbaijan,Asia,Western Asia
BDI,Bahamas,Caribbean (North America),Greater Antilles
BEL,Bahrain,Asia,Western Asia
BEN,Bangladesh,Asia,South Asia
BES,Barbados,Caribbean (North America),Lesser Antilles
BFA,Belarus,Europe,Eastern Europe
BGD,Belgium,Europe,Western Europe
BGR,Belize,Central America,Northern Central America
BHR,Benin,Africa,West Africa
BHS,Bermuda,Caribbean (North America),North Atlantic Ocean
BIH,Bhutan,Asia,South Asia
BLR,Bolivia,South America,Central South America
BLZ,"Bonaire, Sint Eustatius, and Saba",Caribbean (South America),Lesser Antilles
BMU,Bosnia and Herzegovina,Europe,Southeastern Europe
BOL,Botswana,Africa,Southern Africa
BRA,Brazil,South America,Eastern South America
BRB,British Virgin Islands,Caribbean (North America),Lesser Antilles
BRN,Brunei,Asia,Southeast Asia
BTN,Bulgaria,Europe,Southeastern Europe
BWA,Burkina Faso,Africa,West Africa
CAF,Burundi,Africa,East Africa
CAN,Cambodia,Asia,Southeast Asia
CHE,Cameroon,Africa,Central Africa
CHL,Canada,North America,North America
CHN,Cape Verde,Africa,Western Africa
CIV,Central African Republic,Africa,Central Africa
CMR,Chad,Africa,Central Africa
COD,Chile,South America,Western South America
COG,China,Asia,East Asia
COK,Christmas Island,Oceania,Indian Ocean
COL,Colombia,South America,Northern South America
COM,Comoros,Africa,East Africa
CPV,Congo,Africa,Central Africa
CRI,Cook Islands,Oceania,Polynesia
CUB,Costa Rica,Central America,Central Central America
CUW,Côte d'Ivoire,Africa,West Africa
CXR,Croatia,Europe,Southeastern Europe
CYP,Cuba,Caribbean (North America),Greater Antilles
CZE,Curaçao,Caribbean (South America),Lesser Antilles
DEU,Cyprus,Asia,Western Asia
DJI,Czechia,Europe,Central Europe
DMA,Democratic Republic of the Congo,Africa,Central Africa
DNK,Denmark,Europe,Northern Europe
DOM,Djibouti,Africa,East Africa
DZA,Dominica,Caribbean (North America),Lesser Antilles
ECU,Dominican Republic,Caribbean (North America),Greater Antilles
EGY,East Timor,Asia,Southeast Asia
ERI,Ecuador,South America,Northwestern South America
ESP,Egypt,Africa,North Africa
EST,El Salvador,Central America,Northern Central America
ETH,Equatorial Guinea,Africa,Central Africa
FIN,Eritrea,Africa,East Africa
FJI,Estonia,Europe,Northern Europe
FRA,Eswatini,Africa,Southern Africa
FRO,Ethiopia,Africa,East Africa
FSM,Faroe Islands,Europe,Northern Europe
GAB,Fiji,Oceania,Melanesia
GBR,Finland,Europe,Northern Europe
GEO,France,Europe,Western Europe
GHA,French Guiana,South America,South America
GIN,French Polynesia,Oceania,Polynesia
GLP,Gabon,Africa,Central Africa
GMB,Gambia,Africa,West Africa
GNB,Georgia,Asia,Western Asia
GNQ,Germany,Europe,Central Europe
GRC,Ghana,Africa,West Africa
GRD,Greece,Europe,Southeastern Europe
GRL,Greenland,North America,North America
GTM,Grenada,Caribbean (North America),Lesser Antilles
GUF,Guadeloupe,Caribbean (North America),Lesser Antilles
GUY,Guatemala,Central America,Central Central America
HKG,Guinea,Africa,West Africa
HND,Guinea-Bissau,Africa,West Africa
HRV,Guyana,South America,Northeastern South America
HTI,Haiti,Caribbean (North America),Greater Antilles
HUN,Honduras,Central America,Northern Central America
IDN,Hong Kong,Asia,East Asia
IND,Hungary,Europe,Central Europe
IRL,Iceland,Europe,Northern Europe
IRN,India,Asia,South Asia
IRQ,Indonesia,Asia,Southeast Asia
ISL,Iran,Asia,Western Asia
ISR,Iraq,Asia,Western Asia
ITA,Ireland,Europe,Northern Europe
JAM,Israel,Asia,Western Asia
JOR,Italy,Europe,Southern Europe
JPN,Jamaica,Caribbean (North America),Greater Antilles
KAZ,Japan,Asia,East Asia
KEN,Jordan,Asia,Western Asia
KGZ,Kazakhstan,Asia,Central Asia
KHM,Kenya,Africa,East Africa
KIR,Kiribati,Oceania,Micronesia
KNA,Kosovo,Europe,Southeastern Europe
KOR,Kuwait,Asia,Western Asia
KWT,Kyrgyzstan,Asia,Central Asia
LAO,Laos,Asia,Southeast Asia
LBN,Latvia,Europe,Northern Europe
LBR,Lebanon,Asia,Western Asia
LBY,Lesotho,Africa,Southern Africa
LCA,Liberia,Africa,West Africa
LIE,Libya,Africa,North Africa
LKA,Liechtenstein,Europe,Central Europe
LSO,Lithuania,Europe,Northern Europe
LTU,Luxembourg,Europe,Western Europe
LUX,Macau,Asia,East Asia
LVA,Madagascar,Africa,Eastern Africa
MAC,Malawi,Africa,Eastern Africa
MAR,Malaysia,Asia,Southeast Asia
MDA,Maldives,Asia,South Asia
MDG,Mali,Africa,West Africa
MDV,Malta,Europe,Southern Europe
MEX,Marshall Islands,Oceania,Micronesia
MHL,Martinique,Caribbean (North America),Lesser Antilles
MKD,Mauritania,Africa,West Africa
MLI,Mauritius,Africa,Eastern Africa
MLT,Mayotte,Africa,Eastern Africa
MMR,Mexico,North America,North America
MNE,Micronesia (country),Oceania,Micronesia
MNG,Moldova,Europe,Eastern Europe
MOZ,Mongolia,Asia,East Asia
MRT,Montenegro,Europe,Southeastern Europe
MSR,Montserrat,Caribbean (North America),Lesser Antilles
MTQ,Morocco,Africa,North Africa
MUS,Mozambique,Africa,Eastern Africa
MWI,Myanmar,Asia,Southeast Asia
MYS,Namibia,Africa,Southern Africa
MYT,Nauru,Oceania,Micronesia
NAM,Nepal,Asia,South Asia
NCL,Netherlands,Europe,Western Europe
NER,New Caledonia,Oceania,Melanesia
NGA,New Zealand,Oceania,Australasia
NIC,Nicaragua,Central America,Central Central America
NIU,Niger,Africa,West Africa
NLD,Nigeria,Africa,West Africa
NOR,Niue,Oceania,Polynesia
NPL,North Korea,Asia,East Asia
NRU,North Macedonia,Europe,Southeastern Europe
NZL,Norway,Europe,Northern Europe
OMN,Oman,Asia,Western Asia
OWID_KOS,Pakistan,Asia,South Asia
PAK,Palau,Oceania,Micronesia
PAN,Palestine,Asia,Western Asia
PER,Panama,Central America,Southern Central America
PHL,Papua New Guinea,Oceania,Melanesia
PLW,Paraguay,South America,Central South America
PNG,Peru,South America,Western South America
POL,Philippines,Asia,Southeast Asia
PRK,Poland,Europe,Central Europe
PRT,Portugal,Europe,Southwestern Europe
PRY,Qatar,Asia,Western Asia
PSE,Réunion,Africa,Eastern Africa
PYF,Romania,Europe,Eastern Europe
QAT,Russia,Europe,Eastern Europe
REU,Rwanda,Africa,East Africa
ROU,Saint Helena,Africa,Western Africa
RUS,Saint Kitts and Nevis,Caribbean (North America),Lesser Antilles
RWA,Saint Lucia,Caribbean (North America),Lesser Antilles
SAU,Saint Pierre and Miquelon,North America,North America
SDN,Saint Vincent and the Grenadines,Caribbean (North America),Lesser Antilles
SEN,Samoa,Oceania,Polynesia
SGP,São Tomé and Príncipe,Africa,Central Africa
SHN,Saudi Arabia,Asia,Western Asia
SLB,Senegal,Africa,West Africa
SLE,Serbia,Europe,Southeastern Europe
SLV,Seychelles,Africa,Eastern Africa
SOM,Sierra Leone,Africa,West Africa
SPM,Singapore,Asia,Southeast Asia
SRB,Sint Maarten (Dutch part),Caribbean (South America),Lesser Antilles
SSD,Slovakia,Europe,Central Europe
STP,Slovenia,Europe,Central Europe
SUR,Solomon Islands,Oceania,Melanesia
SVK,Somalia,Africa,East Africa
SVN,South Africa,Africa,Southern Africa
SWE,South Korea,Asia,East Asia
SWZ,South Sudan,Africa,East Africa
SXM,Spain,Europe,Southwestern Europe
SYC,Sri Lanka,Asia,South Asia
SYR,Sudan,Africa,Northeast Africa
TCA,Suriname,South America,Northeastern South America
TCD,Sweden,Europe,Northern Europe
TGO,Switzerland,Europe,Western Europe
THA,Syria,Asia,Western Asia
TJK,Taiwan,Asia,East Asia
TKM,Tajikistan,Asia,Central Asia
TLS,Tanzania,Africa,East Africa
TON,Thailand,Asia,Southeast Asia
TTO,Togo,Africa,West Africa
TUN,Tonga,Oceania,Polynesia
TUR,Trinidad and Tobago,Caribbean (South America),Lesser Antilles
TUV,Tunisia,Africa,North Africa
TWN,Turkey,Asia,Western Asia
TZA,Turkmenistan,Asia,Central Asia
UGA,Turks and Caicos Islands,Caribbean (North America),Lucayan Archipelago
UKR,Tuvalu,Oceania,Polynesia
URY,Uganda,Africa,East Africa
USA,Ukraine,Europe,Eastern Europe
UZB,United Arab Emirates,Asia,Western Asia
VCT,United Kingdom,Europe,Northern Europe
VEN,United States,North America,North America
VGB,Uruguay,South America,Southern Cone
VNM,Uzbekistan,Asia,Central Asia
VUT,Vanuatu,Oceania,Melanesia
WLF,Venezuela,South America,Northern South America
WSM,Vietnam,Asia,Southeast Asia
YEM,Wallis and Futuna,Oceania,Polynesia
ZAF,Yemen,Asia,Western Asia
ZMB,Zambia,Africa,Southern Africa
ZWE,Zimbabwe,Africa,Southern Africa